ChildReport
=========================================

/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitioner to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitionerrole to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-organization to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-ext-recorder to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitioner to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitionerrole to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-organization to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-ext-recorder to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitioner to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitionerrole to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-organization to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-ext-recorder to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitioner to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitionerrole to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-organization to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-ext-recorder to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitioner to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitionerrole to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-organization to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-ext-recorder to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitioner to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitionerrole to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-organization to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-ext-recorder to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitioner to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitionerrole to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-organization to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-ext-recorder to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitioner to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitionerrole to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-organization to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
